Date Time (ET), Port of Albany Turbidity in NTU,Norrie Point Turbidity in NTU,Piermont Turbidity in NTU
8/25/11 0:00,4,9.3,no data available
8/25/11 0:15,3.9,8.4,
8/25/11 0:30,4.3,7.9,
8/25/11 0:45,4.7,8.1,
8/25/11 1:00,4.4,8.4,
8/25/11 1:15,5.4,8.1,
8/25/11 1:30,3.9,8.9,
8/25/11 1:45,4.1,9.2,
8/25/11 2:00,4.2,8.1,
8/25/11 2:15,4.6,8.4,
8/25/11 2:30,4.1,8.9,
8/25/11 2:45,4.6,9.4,
8/25/11 3:00,5.1,10.9,
8/25/11 3:15,5.8,8.3,
8/25/11 3:30,4.5,10.5,
8/25/11 3:45,4.9,8.7,
8/25/11 4:00,3.1,9,
8/25/11 4:15,2.9,8.1,
8/25/11 4:30,4.2,8.1,
8/25/11 4:45,3.5,8.1,
8/25/11 5:00,3.5,8.7,
8/25/11 5:15,3.3,9,
8/25/11 5:30,3.3,9.1,
8/25/11 5:45,3.4,9.7,
8/25/11 6:00,3.5,8.3,
8/25/11 6:15,3.4,8.7,
8/25/11 6:30,3.8,8.9,
8/25/11 6:45,3.6,9.2,
8/25/11 7:00,4,8.3,
8/25/11 7:15,3.3,8,
8/25/11 7:30,3.4,8,
8/25/11 7:45,3.8,9.3,
8/25/11 8:00,3.5,8.9,
8/25/11 8:15,3.9,8.9,
8/25/11 8:30,3.7,11.4,
8/25/11 8:45,3.9,8.6,
8/25/11 9:00,3.4,8.7,
8/25/11 9:15,4.7,9.2,
8/25/11 9:30,2.9,8.6,
8/25/11 9:45,3.4,8.1,
8/25/11 10:00,3.7,8.2,
8/25/11 10:15,3.8,8.4,
8/25/11 10:30,3.2,8.7,
8/25/11 10:45,3.9,7.7,
8/25/11 11:00,4,7.7,
8/25/11 11:15,3.7,7.8,
8/25/11 11:30,3.5,8.3,
8/25/11 11:45,3.6,9,
8/25/11 12:00,4,9.2,
8/25/11 12:15,4.2,9.7,
8/25/11 12:30,3.6,8.3,
8/25/11 12:45,3.7,7.6,
8/25/11 13:00,4,7.7,
8/25/11 13:15,3.9,7.3,
8/25/11 13:30,4.3,7.6,
8/25/11 13:45,3.4,7.9,
8/25/11 14:00,4.4,9.7,
8/25/11 14:15,4,8.3,
8/25/11 14:30,5.4,7.8,
8/25/11 14:45,4.6,9.7,
8/25/11 15:00,4.5,8.3,
8/25/11 15:15,3.4,9.6,
8/25/11 15:30,3.8,8.1,
8/25/11 15:45,4.1,8.2,
8/25/11 16:00,4.4,9.8,
8/25/11 16:15,3.4,8.4,
8/25/11 16:30,3.1,8.6,
8/25/11 16:45,4,9.2,
8/25/11 17:00,5.8,9.2,
8/25/11 17:15,4.7,8.4,
8/25/11 17:30,4.4,8.7,
8/25/11 17:45,6.8,9.5,
8/25/11 18:00,4.6,6.9,
8/25/11 18:15,4.2,7.1,
8/25/11 18:30,4.3,7,
8/25/11 18:45,4.2,6.8,
8/25/11 19:00,4.6,9,
8/25/11 19:15,5.4,10.6,
8/25/11 19:30,6.2,9.5,
8/25/11 19:45,5,9.7,
8/25/11 20:00,6.9,12.3,
8/25/11 20:15,5.1,10.5,
8/25/11 20:30,6.6,10.8,
8/25/11 20:45,7.2,8.9,
8/25/11 21:00,6.2,8.7,
8/25/11 21:15,6.1,8.7,
8/25/11 21:30,6.3,8.3,
8/25/11 21:45,6.3,8.3,
8/25/11 22:00,5.8,8.6,
