date,albany_do,norrie_do,albany_rainfall,norrie_rainfall,albany_turbidity,norrie_turbidity
2011-08-25 00:00:00,7.68,7.81,0.0,0.0,4.0,9.3
2011-08-25 00:15:00,7.6,7.73,0.0,0.0,3.9,8.4
2011-08-25 00:30:00,7.57,7.63,0.0,0.0,4.3,7.9
2011-08-25 00:45:00,7.72,7.67,0.0,0.0,4.7,8.1
2011-08-25 01:00:00,7.74,7.63,0.0,0.0,4.4,8.4
2011-08-25 01:15:00,7.71,7.6,0.0,0.0,5.4,8.1
2011-08-25 01:30:00,7.6,7.57,0.0,0.0,3.9,8.9
2011-08-25 01:45:00,7.66,7.58,0.0,0.0,4.1,9.2
2011-08-25 02:00:00,7.84,7.58,0.0,0.0,4.2,8.1
2011-08-25 02:15:00,7.82,7.59,0.0,0.0,4.6,8.4
2011-08-25 02:30:00,7.82,7.61,0.0,0.0,4.1,8.9
2011-08-25 02:45:00,7.77,7.62,0.0,0.0,4.6,9.4
2011-08-25 03:00:00,7.76,7.6,0.0,0.0,5.1,10.9
2011-08-25 03:15:00,7.78,7.57,0.0,0.0,5.8,8.3
2011-08-25 03:30:00,7.8,7.57,0.0,0.0,4.5,10.5
2011-08-25 03:45:00,7.77,7.55,0.0,0.0,4.9,8.7
2011-08-25 04:00:00,7.73,7.54,0.0,0.0,3.1,9.0
2011-08-25 04:15:00,7.63,7.54,0.0,0.0,2.9,8.1
2011-08-25 04:30:00,7.59,7.47,0.0,0.0,4.2,8.1
2011-08-25 04:45:00,7.82,7.5,0.0,0.0,3.5,8.1
2011-08-25 05:00:00,7.79,7.44,0.0,0.0,3.5,8.7
2011-08-25 05:15:00,7.83,7.51,0.0,0.0,3.3,9.0
2011-08-25 05:30:00,7.81,7.56,0.0,0.0,3.3,9.1
2011-08-25 05:45:00,7.84,7.56,0.0,0.0,3.4,9.7
2011-08-25 06:00:00,7.86,7.54,0.0,0.0,3.5,8.3
2011-08-25 06:15:00,7.86,7.53,0.0,0.0,3.4,8.7
2011-08-25 06:30:00,7.86,7.5,0.0,0.0,3.8,8.9
2011-08-25 06:45:00,7.85,7.54,0.0,0.0,3.6,9.2
2011-08-25 07:00:00,7.87,7.53,0.0,0.0,4.0,8.3
2011-08-25 07:15:00,7.82,7.46,0.0,0.0,3.3,8.0
2011-08-25 07:30:00,7.85,7.57,0.0,0.0,3.4,8.0
2011-08-25 07:45:00,7.9,7.52,0.0,0.0,3.8,9.3
2011-08-25 08:00:00,7.83,7.52,0.0,0.0,3.5,8.9
2011-08-25 08:15:00,7.94,7.51,0.0,0.0,3.9,8.9
2011-08-25 08:30:00,7.97,7.51,0.0,0.0,3.7,11.4
2011-08-25 08:45:00,7.98,7.54,0.0,0.0,3.9,8.6
2011-08-25 09:00:00,7.97,7.58,0.0,0.0,3.4,8.7
2011-08-25 09:15:00,7.93,7.57,0.0,0.0,4.7,9.2
2011-08-25 09:30:00,7.89,7.6,0.0,0.0,2.9,8.6
2011-08-25 09:45:00,8.0,7.57,0.0,0.0,3.4,8.1
2011-08-25 10:00:00,7.94,7.56,0.0,0.0,3.7,8.2
2011-08-25 10:15:00,7.96,7.54,0.0,0.02,3.8,8.4
2011-08-25 10:30:00,7.95,7.54,0.0,0.06,3.2,8.7
2011-08-25 10:45:00,7.96,7.52,0.0,0.08,3.9,7.7
2011-08-25 11:00:00,7.91,7.48,0.0,0.1,4.0,7.7
2011-08-25 11:15:00,7.9,7.43,0.0,0.13,3.7,7.8
2011-08-25 11:30:00,7.79,7.27,0.0,0.14,3.5,8.3
2011-08-25 11:45:00,7.74,7.48,0.0,0.15,3.6,9.0
2011-08-25 12:00:00,7.77,7.57,0.0,0.15,4.0,9.2
2011-08-25 12:15:00,7.79,7.63,0.0,0.15,4.2,9.7
2011-08-25 12:30:00,7.75,7.68,0.0,0.15,3.6,8.3
2011-08-25 12:45:00,7.7,7.7,0.0,0.15,3.7,7.6
2011-08-25 13:00:00,7.75,7.75,0.0,0.15,4.0,7.7
2011-08-25 13:15:00,7.61,7.76,0.0,0.15,3.9,7.3
2011-08-25 13:30:00,7.77,7.72,0.0,0.15,4.3,7.6
2011-08-25 13:45:00,7.78,7.74,0.0,0.15,3.4,7.9
2011-08-25 14:00:00,7.83,7.75,0.0,0.15,4.4,9.7
2011-08-25 14:15:00,7.92,7.77,0.01,0.15,4.0,8.3
2011-08-25 14:30:00,7.95,7.76,0.01,0.15,5.4,7.8
